,id,map,game_type,ban1,ban2,ban3,ban4,ban5,ban6,pick1,pick2,pick3,pick4,pick5,pick6,pick7,pick8,pick9,pick10,level1,level2,level3,level4,level5,level6,level7,level8,level9,level10
10,11,Infernal Shrines,HeroLeague,Azmodan,Diablo,Mal'Ganis,Muradin,Li Li,Arthas,Stitches,Valla,Kael'thas,Sylvanas,Illidan,Zarya,Johanna,Abathur,Lucio,Lt. Morales,6,20,20,20,15,10,20,8,18,16
11,12,Battlefield of Eternity,HeroLeague,Genji,Nazeebo,Zeratul,,,,Greymane,Artanis,Varian,Valla,Muradin,Uther,Hanzo,Tychus,Li Li,Falstad,11,14,12,19,20,12,6,20,7,13
12,13,Infernal Shrines,HeroLeague,Samuro,Genji,Lunara,Kael'thas,,,Sonya,Nazeebo,Thrall,Varian,Brightwing,Auriel,E.T.C.,Junkrat,Gazlowe,Tyrael,5,20,10,18,14,10,10,15,6,8
13,14,Cursed Hollow,HeroLeague,Mal'Ganis,Azmodan,Kerrigan,Li Li,Kael'thas,Genji,Dehaka,Diablo,Alexstrasza,Garrosh,Rehgar,Fenix,Falstad,Valeera,Lunara,Varian,20,12,20,20,15,13,20,16,20,10
14,15,Volskaya Foundry,TeamLeague,Kael'thas,Azmodan,Kerrigan,Muradin,Malthael,Li Li,Mal'Ganis,Diablo,Jaina,Deckard,Raynor,Dehaka,Tracer,Artanis,Greymane,Alexstrasza,5,12,20,8,5,10,20,5,14,13
15,16,Braxis Holdout,HeroLeague,Azmodan,Mal'Ganis,Sgt. Hammer,Kael'thas,Gall,,Gul'dan,Genji,Rexxar,Auriel,Blaze,Varian,Stukov,Muradin,Lunara,Alarak,8,7,10,20,17,10,10,7,20,20
16,17,Infernal Shrines,HeroLeague,Azmodan,Diablo,Mal'Ganis,Muradin,Li Li,Arthas,Stitches,Valla,Kael'thas,Sylvanas,Illidan,Zarya,Johanna,Abathur,Lucio,Lt. Morales,6,20,20,20,15,10,20,8,18,16
17,18,Dragon Shire,TeamLeague,Genji,Diablo,,Kael'thas,Mal'Ganis,Johanna,Junkrat,Azmodan,Stukov,Zagara,Deckard,Tyrael,Jaina,Blaze,Xul,Gazlowe,18,20,6,2,1,7,5,2,1,4
18,19,Volskaya Foundry,TeamLeague,Mal'Ganis,Whitemane,Kerrigan,Diablo,Anub'arak,Muradin,Azmodan,Nazeebo,Alexstrasza,Kael'thas,Johanna,Gall,Cho,Malfurion,Leoric,Malthael,10,10,20,20,17,18,20,2,20,8
19,20,Battlefield of Eternity,HeroLeague,Genji,Nazeebo,Zeratul,,,,Greymane,Artanis,Varian,Valla,Muradin,Uther,Hanzo,Tychus,Li Li,Falstad,11,14,12,19,20,12,6,20,7,13
20,21,Infernal Shrines,HeroLeague,Samuro,Genji,Lunara,Kael'thas,,,Sonya,Nazeebo,Thrall,Varian,Brightwing,Auriel,E.T.C.,Junkrat,Gazlowe,Tyrael,5,20,10,18,14,10,10,15,6,8
21,22,Cursed Hollow,HeroLeague,Mal'Ganis,Azmodan,Kerrigan,Li Li,Kael'thas,Genji,Dehaka,Diablo,Alexstrasza,Garrosh,Rehgar,Fenix,Falstad,Valeera,Lunara,Varian,20,12,20,20,15,13,20,16,20,10
22,23,Volskaya Foundry,TeamLeague,Kael'thas,Azmodan,Kerrigan,Muradin,Malthael,Li Li,Mal'Ganis,Diablo,Jaina,Deckard,Raynor,Dehaka,Tracer,Artanis,Greymane,Alexstrasza,5,12,20,8,5,10,20,5,14,13
23,24,Braxis Holdout,HeroLeague,Azmodan,Mal'Ganis,Sgt. Hammer,Kael'thas,Gall,,Gul'dan,Genji,Rexxar,Auriel,Blaze,Varian,Stukov,Muradin,Lunara,Alarak,8,7,10,20,17,10,10,7,20,20
24,25,Infernal Shrines,HeroLeague,Azmodan,Diablo,Mal'Ganis,Muradin,Li Li,Arthas,Stitches,Valla,Kael'thas,Sylvanas,Illidan,Zarya,Johanna,Abathur,Lucio,Lt. Morales,6,20,20,20,15,10,20,8,18,16
25,26,Dragon Shire,TeamLeague,Genji,Diablo,,Kael'thas,Mal'Ganis,Johanna,Junkrat,Azmodan,Stukov,Zagara,Deckard,Tyrael,Jaina,Blaze,Xul,Gazlowe,18,20,6,2,1,7,5,2,1,4
26,27,Volskaya Foundry,TeamLeague,Mal'Ganis,Whitemane,Kerrigan,Diablo,Anub'arak,Muradin,Azmodan,Nazeebo,Alexstrasza,Kael'thas,Johanna,Gall,Cho,Malfurion,Leoric,Malthael,10,10,20,20,17,18,20,2,20,8
27,28,Infernal Shrines,UnrankedDraft,Azmodan,Whitemane,Mal'Ganis,Kael'thas,Tyrande,Leoric,Li-Ming,Cassia,Muradin,Deckard,Yrel,Lucio,Thrall,Garrosh,Greymane,The Lost Vikings,13,11,5,19,3,20,20,14,12,10
28,29,Infernal Shrines,HeroLeague,Azmodan,Sylvanas,Kerrigan,Illidan,Nazeebo,Gall,Kael'thas,Leoric,Genji,Diablo,Li Li,Kharazim,Zagara,Mal'Ganis,Falstad,Johanna,20,5,18,10,20,9,19,10,6,20
29,30,Dragon Shire,HeroLeague,Azmodan,Kael'thas,Falstad,Mal'Ganis,Brightwing,Dehaka,Garrosh,Raynor,Nazeebo,Zagara,Artanis,Stukov,Diablo,Li Li,Lunara,Murky,6,10,20,20,12,20,16,20,20,20
30,31,Dragon Shire,TeamLeague,Whitemane,Azmodan,Mal'Ganis,Diablo,Kael'thas,Kerrigan,Muradin,Dehaka,Li-Ming,Tyrande,Zagara,Johanna,Deckard,Artanis,Jaina,Illidan,20,20,17,20,20,12,20,15,18,20
31,32,Alterac Pass,TeamLeague,Kerrigan,Cho,Genji,Gall,,Garrosh,Diablo,Stukov,Mal'Ganis,Kael'thas,Thrall,D.Va,The Lost Vikings,Whitemane,Alarak,Valla,13,4,4,1,20,20,20,2,18,20
32,33,Tomb of the Spider Queen,UnrankedDraft,Azmodan,Mal'Ganis,Whitemane,Diablo,Varian,Johanna,Kerrigan,Fenix,Ana,E.T.C.,Brightwing,Junkrat,Tyrael,Jaina,Blaze,Muradin,20,11,10,20,20,13,10,20,8,13
33,34,Warhead Junction,UnrankedDraft,Mal'Ganis,Azmodan,Whitemane,Cassia,Garrosh,Abathur,Zul'jin,Illidan,Muradin,Brightwing,Hanzo,Zagara,Li Li,Genji,Johanna,Gul'dan,20,3,20,5,9,3,7,20,12,8
34,35,Cursed Hollow,TeamLeague,Mal'Ganis,Garrosh,Diablo,Genji,Yrel,Maiev,Deckard,Li-Ming,Dehaka,Muradin,Hanzo,Johanna,Rehgar,Nova,Abathur,Tychus,3,20,20,20,20,20,16,7,17,20
35,36,Alterac Pass,TeamLeague,Azmodan,Mal'Ganis,Kerrigan,Chromie,Kael'thas,Dehaka,Muradin,Gul'dan,Rehgar,Cassia,Blaze,Alarak,Garrosh,Jaina,Ana,Sgt. Hammer,5,10,16,8,2,11,11,20,12,14
36,37,Infernal Shrines,HeroLeague,Azmodan,Mal'Ganis,The Lost Vikings,Whitemane,Malfurion,Dehaka,Diablo,Kael'thas,Malthael,Falstad,Anub'arak,Alexstrasza,Tyrael,Gul'dan,Lt. Morales,Stitches,19,20,6,20,8,13,20,20,20,14
37,38,Alterac Pass,TeamLeague,Azmodan,Mal'Ganis,Genji,Gazlowe,Sonya,Artanis,Diablo,Arthas,Malfurion,Whitemane,Gul'dan,Chromie,Mephisto,Dehaka,Raynor,Muradin,12,11,8,2,20,20,16,8,16,8
38,39,Alterac Pass,HeroLeague,Kerrigan,,Azmodan,Mal'Ganis,Li-Ming,Whitemane,Brightwing,Zagara,Dehaka,Gazlowe,Anub'arak,Malfurion,Kael'thas,Junkrat,Blaze,Tychus,20,20,16,11,7,18,20,9,10,11
39,40,Dragon Shire,TeamLeague,Kerrigan,Dehaka,Kael'thas,Diablo,Whitemane,Deckard,Mal'Ganis,Muradin,Thrall,Falstad,Varian,Auriel,Azmodan,Tychus,Brightwing,Tracer,8,19,18,12,8,20,14,1,19,13
40,41,Alterac Pass,UnrankedDraft,Abathur,,Ana,Genji,Mal'Ganis,Brightwing,Kael'thas,Nazeebo,Stitches,Azmodan,Whitemane,Deckard,Kel'Thuzad,Blaze,Tyrael,Leoric,20,20,20,20,6,2,10,1,12,10
41,42,Cursed Hollow,HeroLeague,Azmodan,Diablo,Dehaka,Whitemane,Ana,Muradin,Zul'jin,Rehgar,Mal'Ganis,Kael'thas,Arthas,Jaina,Johanna,Artanis,Li Li,Genji,5,20,5,20,20,20,20,20,9,7
42,43,Infernal Shrines,TeamLeague,Mal'Ganis,Mephisto,Hanzo,Genji,Whitemane,Raynor,Kerrigan,Garrosh,Tyrande,Alarak,Anub'arak,Jaina,Cassia,Alexstrasza,Junkrat,Blaze,15,8,9,20,8,11,4,20,20,8
43,44,Warhead Junction,UnrankedDraft,Azmodan,Dehaka,Mal'Ganis,Ragnaros,Kerrigan,Tyrande,Falstad,Diablo,Thrall,Brightwing,E.T.C.,Chromie,Sylvanas,Mephisto,Sonya,Ana,9,8,20,16,20,7,17,10,16,12
44,45,Infernal Shrines,HeroLeague,Azmodan,Deckard,Mal'Ganis,Diablo,Whitemane,Kael'thas,Muradin,Arthas,Thrall,Raynor,Artanis,Gul'dan,Li Li,Brightwing,Gazlowe,Ragnaros,20,12,12,9,16,19,10,11,12,10
45,46,Dragon Shire,TeamLeague,Mal'Ganis,Azmodan,Diablo,Kerrigan,Auriel,Deckard,Brightwing,Jaina,Muradin,Dehaka,Kael'thas,Garrosh,Varian,Artanis,Zeratul,Li Li,10,17,20,9,18,6,20,20,5,20
46,47,Sky Temple,HeroLeague,,Mal'Ganis,Li Li,Mephisto,Fenix,Jaina,Azmodan,Malfurion,Diablo,Yrel,D.Va,Zagara,Li-Ming,Brightwing,Kael'thas,Genji,10,20,20,6,20,10,20,20,20,20
47,48,Tomb of the Spider Queen,TeamLeague,Kael'thas,Azmodan,Genji,Mal'Ganis,Deckard,Whitemane,Raynor,Diablo,Gul'dan,Johanna,Ragnaros,Artanis,Stukov,Malfurion,Li-Ming,Lunara,14,20,19,17,18,14,13,20,20,20
48,49,Tomb of the Spider Queen,TeamLeague,Mal'Ganis,Azmodan,Diablo,Whitemane,Fenix,Varian,Kael'thas,Genji,Nazeebo,Johanna,Brightwing,Garrosh,Jaina,Maiev,Xul,Alexstrasza,14,12,20,17,7,20,13,20,9,16
49,50,Cursed Hollow,UnrankedDraft,Azmodan,Mal'Ganis,Genji,Garrosh,Gul'dan,,Li Li,Kel'Thuzad,Mephisto,Kerrigan,Medivh,Brightwing,Diablo,Fenix,Anub'arak,Tracer,9,20,12,17,20,16,20,15,11,20
50,51,Infernal Shrines,TeamLeague,Diablo,Azmodan,Mal'Ganis,Whitemane,Yrel,Muradin,Brightwing,Fenix,Kerrigan,E.T.C.,Hanzo,Stukov,Garrosh,Lunara,Varian,D.Va,20,8,19,8,20,20,10,20,20,12
51,52,Tomb of the Spider Queen,TeamLeague,Whitemane,Mal'Ganis,Raynor,Jaina,Rehgar,Malthael,Diablo,Azmodan,Kael'thas,Cassia,Muradin,Johanna,Deckard,Lucio,Alarak,Kel'Thuzad,20,12,11,11,20,20,2,17,20,10
52,53,Cursed Hollow,UnrankedDraft,Mal'Ganis,Lt. Morales,Azmodan,Yrel,Kael'thas,Leoric,Artanis,Gul'dan,Genji,Abathur,Kharazim,Whitemane,Cassia,Diablo,Greymane,E.T.C.,6,7,9,4,19,10,3,20,20,7
53,54,Cursed Hollow,TeamLeague,Azmodan,Mal'Ganis,Raynor,Tychus,Lt. Morales,Malthael,Diablo,Varian,Falstad,Gall,Cho,Auriel,Artanis,Alexstrasza,Hanzo,Zul'jin,18,20,15,6,12,20,20,20,10,20
54,55,Alterac Pass,UnrankedDraft,Azmodan,Genji,Zeratul,Dehaka,Diablo,Samuro,Deckard,Sonya,Arthas,Thrall,Gazlowe,Raynor,Brightwing,Varian,Blaze,Kael'thas,3,11,9,15,8,6,8,8,4,20
55,56,Tomb of the Spider Queen,TeamLeague,Azmodan,Kerrigan,Junkrat,Mal'Ganis,Whitemane,Ragnaros,Sylvanas,Johanna,Fenix,Genji,Dehaka,Leoric,Li-Ming,Varian,Ana,Alexstrasza,6,20,19,20,20,17,12,20,7,9
56,57,Volskaya Foundry,HeroLeague,Johanna,Azmodan,Genji,Kael'thas,Deckard,Alexstrasza,Varian,Raynor,Mal'Ganis,Mephisto,E.T.C.,Nazeebo,Diablo,Kharazim,Chromie,Li Li,10,20,6,20,7,20,14,9,15,11
57,58,Cursed Hollow,UnrankedDraft,Genji,Azmodan,Abathur,Diablo,Whitemane,Dehaka,Mal'Ganis,Ana,Anub'arak,Lunara,Kel'Thuzad,Li-Ming,Thrall,Zagara,Uther,Greymane,5,11,20,9,20,17,20,20,20,20
58,59,Volskaya Foundry,TeamLeague,Azmodan,Mal'Ganis,Garrosh,Diablo,Alexstrasza,Kael'thas,E.T.C.,Ana,Varian,Genji,Tychus,Muradin,Hanzo,Leoric,Deckard,Kel'Thuzad,20,14,1,20,20,12,16,20,12,9
59,60,Infernal Shrines,HeroLeague,Azmodan,Cassia,Raynor,Mal'Ganis,Kael'thas,Gul'dan,Hanzo,Sylvanas,Sonya,Artanis,Nazeebo,Kharazim,Genji,Ana,Stitches,Muradin,20,20,20,12,20,7,20,18,10,8
60,61,Braxis Holdout,TeamLeague,Mal'Ganis,Gul'dan,Kael'thas,Sonya,Azmodan,Stukov,Diablo,Ragnaros,Muradin,Lunara,Ana,Jaina,Tychus,Valla,Varian,Malfurion,17,10,20,12,7,20,20,11,15,20
61,62,Cursed Hollow,UnrankedDraft,Azmodan,Mal'Ganis,Whitemane,Garrosh,Zagara,Varian,Diablo,Abathur,Jaina,Yrel,Kael'thas,Leoric,Stukov,Kharazim,Fenix,E.T.C.,9,13,11,3,20,20,12,20,6,20
62,63,Alterac Pass,TeamLeague,Muradin,Azmodan,Mal'Ganis,Kerrigan,Diablo,Whitemane,Cassia,Varian,Kael'thas,Kel'Thuzad,Ana,Deckard,Malthael,Xul,Johanna,Nova,3,14,20,7,15,18,20,12,15,2
63,64,Braxis Holdout,TeamLeague,Maiev,Diablo,Mal'Ganis,Muradin,Garrosh,Yrel,Genji,Azmodan,Anub'arak,Deckard,Zul'jin,Alexstrasza,Jaina,Arthas,Alarak,Fenix,13,13,20,4,20,20,20,20,20,8
64,65,Garden of Terror,UnrankedDraft,Mal'Ganis,Whitemane,Samuro,Dehaka,Lt. Morales,Ana,Arthas,Jaina,Yrel,Azmodan,Probius,Alexstrasza,Nazeebo,Raynor,Brightwing,Li-Ming,11,20,11,17,10,20,20,9,20,20
65,66,Braxis Holdout,TeamLeague,Mal'Ganis,Raynor,Kerrigan,Ragnaros,Stukov,Brightwing,Azmodan,Diablo,Maiev,Junkrat,Garrosh,Kael'thas,Rehgar,Deckard,Lunara,Sonya,16,20,2,10,10,18,9,20,20,20
66,67,Towers of Doom,HeroLeague,Kerrigan,Mal'Ganis,Kael'thas,Diablo,Deckard,Li Li,Johanna,Malthael,Azmodan,Zagara,Mephisto,Gul'dan,Blaze,Rehgar,Maiev,Lt. Morales,13,20,20,20,5,12,9,18,8,8
67,68,Sky Temple,TeamLeague,Mal'Ganis,Azmodan,Gall,Kel'Thuzad,Deckard,E.T.C.,Li-Ming,Genji,Varian,Zarya,Muradin,Diablo,Tyrande,Li Li,Thrall,The Lost Vikings,8,20,20,16,20,20,10,20,17,20
68,69,Volskaya Foundry,HeroLeague,Mephisto,Mal'Ganis,Muradin,Kerrigan,Deckard,Diablo,Azmodan,Hanzo,Sylvanas,Johanna,Varian,E.T.C.,Lt. Morales,Nazeebo,Li Li,Stitches,20,20,12,7,11,20,5,20,6,20
69,70,Towers of Doom,TeamLeague,Varian,Mal'Ganis,Azmodan,Kerrigan,Dehaka,Brightwing,Nova,Raynor,Genji,Zarya,Malfurion,Whitemane,Gul'dan,Diablo,Kel'Thuzad,Anub'arak,20,20,20,20,16,3,20,20,20,10
70,71,Volskaya Foundry,TeamLeague,Kael'thas,Kel'Thuzad,Jaina,Stukov,Li-Ming,Fenix,Mal'Ganis,Azmodan,Lucio,Genji,Ana,Anub'arak,Raynor,Varian,Junkrat,Yrel,5,17,10,11,8,7,20,17,20,12
71,72,Sky Temple,TeamLeague,Mal'Ganis,Azmodan,Diablo,Kerrigan,Kael'thas,Brightwing,Whitemane,Varian,Falstad,E.T.C.,Zagara,Auriel,Dehaka,Alarak,Valla,Garrosh,11,10,20,19,9,11,16,11,11,6
72,73,Dragon Shire,TeamLeague,Varian,Genji,Kael'thas,Azmodan,Whitemane,Ana,Mal'Ganis,Nazeebo,Muradin,Dehaka,Li-Ming,Brightwing,Fenix,Lunara,Kharazim,Diablo,5,20,19,4,13,17,20,20,10,20
73,74,Battlefield of Eternity,TeamLeague,Kerrigan,Diablo,,Mal'Ganis,E.T.C.,Malthael,Brightwing,Varian,Valla,Raynor,Nazeebo,Tyrande,Stitches,Gall,Cho,Tychus,20,20,17,15,20,20,6,20,17,9
74,75,Garden of Terror,UnrankedDraft,Kael'thas,Mal'Ganis,Azmodan,Whitemane,Cho,Anub'arak,Genji,Varian,Uther,Zagara,Alexstrasza,Blaze,Valla,Sonya,Diablo,Leoric,20,18,20,13,11,10,16,10,20,10
75,76,Battlefield of Eternity,HeroLeague,Azmodan,Kael'thas,Stukov,Mal'Ganis,Varian,Whitemane,Chromie,Diablo,Greymane,Li Li,Gazlowe,Lt. Morales,Johanna,Garrosh,Sgt. Hammer,Li-Ming,20,20,20,20,20,20,8,5,10,20
76,77,Infernal Shrines,TeamLeague,Kerrigan,Mal'Ganis,Azmodan,Diablo,Hanzo,Ana,Deckard,Gul'dan,Stitches,Xul,Arthas,Sonya,Maiev,Valla,E.T.C.,Brightwing,11,12,20,17,11,6,4,19,20,20
77,78,Alterac Pass,UnrankedDraft,Mal'Ganis,Azmodan,Diablo,Whitemane,Dehaka,Kerrigan,Hanzo,Abathur,Muradin,Tychus,Garrosh,Deckard,Jaina,Blaze,Tyrande,Greymane,9,20,20,20,12,9,20,10,20,9
78,79,Dragon Shire,TeamLeague,Mal'Ganis,Stitches,Azmodan,Diablo,Whitemane,Malthael,Kael'thas,Falstad,Sylvanas,Gall,Cho,Leoric,Lt. Morales,Stukov,Zagara,Tychus,16,14,20,5,6,20,5,7,20,18
79,80,Dragon Shire,HeroLeague,Mal'Ganis,Diablo,Arthas,Whitemane,Johanna,Tracer,Sonya,Valla,Kael'thas,Ana,Jaina,Rehgar,Muradin,Garrosh,Illidan,E.T.C.,7,12,20,6,20,5,20,13,20,20
80,81,Alterac Pass,TeamLeague,Kerrigan,Mal'Ganis,Whitemane,Genji,Thrall,Garrosh,Azmodan,Li Li,Fenix,Diablo,Alexstrasza,E.T.C.,Zarya,Yrel,Kael'thas,Zagara,12,4,8,16,9,10,20,6,11,20
81,82,Warhead Junction,UnrankedDraft,Mal'Ganis,Varian,Azmodan,Zagara,Deckard,Whitemane,Muradin,Kel'Thuzad,Sylvanas,Dehaka,Kerrigan,Artanis,Brightwing,Li Li,Xul,Johanna,20,15,6,17,6,15,8,20,13,9
82,83,Dragon Shire,HeroLeague,Genji,Mal'Ganis,Diablo,Kerrigan,Garrosh,Alexstrasza,Stukov,Muradin,Tychus,Abathur,Falstad,Azmodan,Lucio,Artanis,Stitches,Varian,20,13,20,20,20,20,14,20,8,20
83,84,Sky Temple,TeamLeague,,Azmodan,,Genji,Ragnaros,Whitemane,Mal'Ganis,Dehaka,Varian,Brightwing,Valla,Ana,Zarya,Leoric,Jaina,Tychus,5,20,20,11,10,7,9,10,7,6
84,85,Dragon Shire,UnrankedDraft,Genji,Tyrande,Azmodan,Abathur,,Alexstrasza,Ana,Mal'Ganis,Ragnaros,Nazeebo,Jaina,Chromie,Deckard,Artanis,Muradin,Varian,8,3,17,20,20,11,13,5,10,10
85,86,Infernal Shrines,UnrankedDraft,Li Li,Alexstrasza,Kael'thas,Azmodan,Sgt. Hammer,,Jaina,Whitemane,Valla,Raynor,Genji,Artanis,Muradin,Johanna,Uther,Gul'dan,20,1,20,20,20,3,6,9,10,15
86,87,Battlefield of Eternity,HeroLeague,Abathur,Whitemane,Mal'Ganis,Maiev,Arthas,Genji,Alarak,Diablo,Greymane,Sonya,Tyrande,Zarya,Brightwing,Muradin,Li-Ming,Thrall,20,20,20,14,20,20,16,12,20,20
87,88,Dragon Shire,TeamLeague,Mal'Ganis,Gall,Genji,Lt. Morales,Whitemane,Dehaka,Maiev,Nazeebo,Diablo,Anub'arak,Tychus,Falstad,Uther,Greymane,Tyrande,Brightwing,6,20,20,20,16,7,20,20,10,20
88,89,Volskaya Foundry,TeamLeague,Azmodan,Mal'Ganis,Kael'thas,Whitemane,Diablo,Li Li,Brightwing,Jaina,Garrosh,Thrall,Fenix,Deckard,Arthas,Blaze,Muradin,Sgt. Hammer,20,13,12,20,20,7,20,15,11,14
89,90,Hanamura Temple,UnrankedDraft,Azmodan,Mal'Ganis,Diablo,Dehaka,Lucio,Muradin,Kerrigan,Mephisto,Valla,Hanzo,Thrall,Garrosh,Artanis,Anub'arak,Kharazim,Brightwing,20,7,20,6,16,6,20,13,20,20
90,91,Cursed Hollow,TeamLeague,Mal'Ganis,Azmodan,Kael'thas,Diablo,Muradin,Tyrande,Genji,Raynor,Hanzo,Brightwing,Cassia,Whitemane,Sonya,Johanna,Malthael,Garrosh,17,13,10,7,12,13,18,15,10,10
91,92,Cursed Hollow,HeroLeague,Azmodan,Mal'Ganis,Kerrigan,Dehaka,Tychus,Muradin,Kharazim,Li-Ming,Alarak,Diablo,Abathur,Xul,Li Li,Varian,Chromie,Johanna,15,18,19,17,17,6,12,7,13,20
92,93,Alterac Pass,TeamLeague,Diablo,Mal'Ganis,Brightwing,Kael'thas,Sonya,Genji,Chromie,Mephisto,Sylvanas,Tyrael,Lucio,Li Li,Maiev,Blaze,Alarak,Leoric,10,8,11,20,14,1,20,4,13,14
93,94,Tomb of the Spider Queen,TeamLeague,Genji,Diablo,Azmodan,Mal'Ganis,,Stitches,Garrosh,Deckard,Junkrat,Kael'thas,Probius,Johanna,Li-Ming,Samuro,Malfurion,Raynor,11,4,13,20,7,16,20,8,20,7
94,95,Volskaya Foundry,TeamLeague,Azmodan,Fenix,Mal'Ganis,Diablo,Kael'thas,Tychus,Deckard,Kerrigan,Stukov,Zarya,The Lost Vikings,Li-Ming,Muradin,Cho,Gall,Greymane,20,16,20,20,19,14,20,17,20,13
95,96,Sky Temple,TeamLeague,Genji,Mephisto,Kerrigan,Mal'Ganis,Illidan,Alexstrasza,Hanzo,Maiev,Arthas,Abathur,Garrosh,Murky,Whitemane,Jaina,Ana,Junkrat,20,9,11,13,3,18,7,11,10,7
96,97,Garden of Terror,UnrankedDraft,,Diablo,Mal'Ganis,Kael'thas,Johanna,Li Li,Rehgar,Whitemane,Garrosh,Artanis,Lunara,Li-Ming,Falstad,Jaina,Stitches,Leoric,9,2,6,15,3,8,12,6,7,18
97,98,Battlefield of Eternity,HeroLeague,Mal'Ganis,Kerrigan,Artanis,Anub'arak,E.T.C.,Greymane,Valla,Raynor,Diablo,Azmodan,Hanzo,Li Li,Genji,Johanna,Lt. Morales,Samuro,9,12,13,20,20,20,20,14,7,5
98,99,Dragon Shire,TeamLeague,Azmodan,Mephisto,Li-Ming,Mal'Ganis,Kael'thas,Alexstrasza,Diablo,Raynor,Varian,Brightwing,Tracer,Li Li,Kerrigan,Garrosh,Cassia,Johanna,11,10,20,20,20,13,20,12,7,20
99,100,Tomb of the Spider Queen,TeamLeague,Azmodan,Mal'Ganis,Genji,,Zagara,Jaina,Diablo,Kerrigan,Muradin,Gul'dan,Stukov,Valla,Rehgar,Leoric,Thrall,Li Li,20,10,20,20,20,6,15,19,17,11
100,101,Battlefield of Eternity,HeroLeague,Azmodan,Mephisto,Mal'Ganis,Artanis,Malthael,Whitemane,Kael'thas,Yrel,Hanzo,Valla,Alexstrasza,Anub'arak,Ana,E.T.C.,Varian,Xul,20,13,10,8,11,5,18,6,7,15
101,102,Infernal Shrines,UnrankedDraft,Mal'Ganis,Genji,Zeratul,Garrosh,Maiev,Kael'thas,Azmodan,Diablo,Rehgar,Varian,Li Li,Jaina,Thrall,Tychus,Kerrigan,Falstad,20,20,13,20,20,3,9,11,14,15
102,103,Dragon Shire,HeroLeague,Mal'Ganis,,Whitemane,,Uther,Raynor,Genji,Valeera,Diablo,Alarak,Muradin,Tyrande,Zul'jin,Gazlowe,Li Li,Nazeebo,20,11,8,20,14,11,14,12,11,20
103,104,Dragon Shire,TeamLeague,,Mephisto,Azmodan,Kerrigan,Hanzo,,Mal'Ganis,Blaze,Genji,Zeratul,Kael'thas,Samuro,Li Li,Sonya,Rehgar,Xul,3,5,20,7,20,13,12,20,18,3
104,105,Cursed Hollow,TeamLeague,Mal'Ganis,Azmodan,Diablo,Kerrigan,Garrosh,Brightwing,Whitemane,Varian,Genji,Blaze,Jaina,Lucio,Kel'Thuzad,Arthas,Zeratul,Dehaka,11,6,20,7,8,20,20,11,20,9
